date,home_team,away_team,team,scorer,minute,own_goal,penalty,MATCH_ID
2018-06-24,ENG,PAN,ENG,John Stones,40.0,False,False,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,Harry Kane,45.0,False,True,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,Harry Kane,62.0,False,False,20180624_ENG_PAN
2018-06-24,ENG,PAN,PAN,Felipe Baloy,78.0,False,False,20180624_ENG_PAN
2018-06-24,JPN,SEN,SEN,Sadio Mané,11.0,False,False,20180624_JPN_SEN
2018-06-24,JPN,SEN,JPN,Takashi Inui,34.0,False,False,20180624_JPN_SEN
2018-06-24,JPN,SEN,SEN,Moussa Wagué,71.0,False,False,20180624_JPN_SEN
2018-06-24,JPN,SEN,JPN,Keisuke Honda,78.0,False,False,20180624_JPN_SEN
2018-06-24,POL,COL,COL,Yerry Mina,40.0,False,False,20180624_POL_COL
2018-06-24,POL,COL,COL,Radamel Falcao,70.0,False,False,20180624_POL_COL
2018-06-24,POL,COL,COL,Juan Cuadrado,75.0,False,False,20180624_POL_COL
2018-06-25,IRN,POR,POR,Ricardo Quaresma,45.0,False,False,20180625_IRN_POR
2018-06-25,IRN,POR,IRN,Karim Ansarifard,90.0,False,True,20180625_IRN_POR
2018-06-25,RUS,URU,URU,Luis Suárez,10.0,False,False,20180625_RUS_URU
2018-06-25,RUS,URU,URU,Denis Cheryshev,23.0,True,False,20180625_RUS_URU
2018-06-25,RUS,URU,URU,Edinson Cavani,90.0,False,False,20180625_RUS_URU
2018-06-25,KSA,EGY,EGY,Mohamed Salah,22.0,False,False,20180625_KSA_EGY
2018-06-25,KSA,EGY,KSA,Salman Al-Faraj,45.0,False,True,20180625_KSA_EGY
2018-06-25,KSA,EGY,KSA,Salem Al-Dawsari,90.0,False,False,20180625_KSA_EGY
2018-06-25,ESP,MAR,MAR,Khalid Boutaïb,14.0,False,False,20180625_ESP_MAR
2018-06-25,ESP,MAR,ESP,Isco,19.0,False,False,20180625_ESP_MAR
2018-06-25,ESP,MAR,MAR,Youssef En-Nesyri,81.0,False,False,20180625_ESP_MAR
2018-06-25,ESP,MAR,ESP,Iago Aspas,90.0,False,False,20180625_ESP_MAR
2018-06-26,AUS,PER,PER,André Carrillo,18.0,False,False,20180626_AUS_PER
2018-06-26,AUS,PER,PER,Paolo Guerrero,50.0,False,False,20180626_AUS_PER
2018-06-26,ISL,CRO,CRO,Milan Badelj,53.0,False,False,20180626_ISL_CRO
2018-06-26,ISL,CRO,ISL,Gylfi Sigurðsson,76.0,False,True,20180626_ISL_CRO
2018-06-26,ISL,CRO,CRO,Ivan Perišić,90.0,False,False,20180626_ISL_CRO
2018-06-26,NGA,ARG,ARG,Lionel Messi,14.0,False,False,20180626_NGA_ARG
2018-06-26,NGA,ARG,NGA,Victor Moses,51.0,False,True,20180626_NGA_ARG
2018-06-26,NGA,ARG,ARG,Marcos Rojo,86.0,False,False,20180626_NGA_ARG
2018-06-27,MEX,SWE,SWE,Ludwig Augustinsson,50.0,False,False,20180627_MEX_SWE
2018-06-27,MEX,SWE,SWE,Andreas Granqvist,62.0,False,True,20180627_MEX_SWE
2018-06-27,MEX,SWE,SWE,Edson Álvarez,74.0,True,False,20180627_MEX_SWE
2018-06-27,SRB,BRA,BRA,Paulinho,36.0,False,False,20180627_SRB_BRA
2018-06-27,SRB,BRA,BRA,Thiago Silva,68.0,False,False,20180627_SRB_BRA
2018-06-27,KOR,GER,KOR,Kim Young-gwon,90.0,False,False,20180627_KOR_GER
2018-06-27,KOR,GER,KOR,Son Heung-min,90.0,False,False,20180627_KOR_GER
2018-06-27,SUI,CRC,SUI,Blerim Džemaili,31.0,False,False,20180627_SUI_CRC
2018-06-27,SUI,CRC,CRC,Kendall Waston,56.0,False,False,20180627_SUI_CRC
2018-06-27,SUI,CRC,SUI,Josip Drmić,88.0,False,False,20180627_SUI_CRC
2018-06-27,SUI,CRC,CRC,Yann Sommer,90.0,True,False,20180627_SUI_CRC
2018-06-28,ENG,BEL,BEL,Adnan Januzaj,51.0,False,False,20180628_ENG_BEL
2018-06-28,JPN,POL,POL,Jan Bednarek,59.0,False,False,20180628_JPN_POL
2018-06-28,PAN,TUN,PAN,Yassine Meriah,33.0,True,False,20180628_PAN_TUN
2018-06-28,PAN,TUN,TUN,Fakhreddine Ben Youssef,51.0,False,False,20180628_PAN_TUN
2018-06-28,PAN,TUN,TUN,Wahbi Khazri,66.0,False,False,20180628_PAN_TUN
2018-06-28,SEN,COL,COL,Yerry Mina,74.0,False,False,20180628_SEN_COL
2018-06-30,FRA,ARG,FRA,Antoine Griezmann,13.0,False,True,20180630_FRA_ARG
2018-06-30,FRA,ARG,ARG,Ángel Di María,41.0,False,False,20180630_FRA_ARG
2018-06-30,FRA,ARG,ARG,Gabriel Mercado,48.0,False,False,20180630_FRA_ARG
2018-06-30,FRA,ARG,FRA,Benjamin Pavard,57.0,False,False,20180630_FRA_ARG
2018-06-30,FRA,ARG,FRA,Kylian Mbappé,64.0,False,False,20180630_FRA_ARG
2018-06-30,FRA,ARG,FRA,Kylian Mbappé,68.0,False,False,20180630_FRA_ARG
2018-06-30,FRA,ARG,ARG,Sergio Agüero,90.0,False,False,20180630_FRA_ARG
2018-06-30,URU,POR,URU,Edinson Cavani,7.0,False,False,20180630_URU_POR
2018-06-30,URU,POR,POR,Pepe,55.0,False,False,20180630_URU_POR
2018-06-30,URU,POR,URU,Edinson Cavani,62.0,False,False,20180630_URU_POR
2018-07-01,CRO,DEN,DEN,Mathias Jørgensen,1.0,False,False,20180701_CRO_DEN
2018-07-01,CRO,DEN,CRO,Mario Mandžukić,4.0,False,False,20180701_CRO_DEN
2018-07-01,RUS,ESP,ESP,Sergei Ignashevich,12.0,True,False,20180701_RUS_ESP
2018-07-01,RUS,ESP,RUS,Artem Dzyuba,41.0,False,True,20180701_RUS_ESP
2018-07-02,BEL,JPN,JPN,Genki Haraguchi,48.0,False,False,20180702_BEL_JPN
2018-07-02,BEL,JPN,JPN,Takashi Inui,52.0,False,False,20180702_BEL_JPN
2018-07-02,BEL,JPN,BEL,Jan Vertonghen,69.0,False,False,20180702_BEL_JPN
2018-07-02,BEL,JPN,BEL,Marouane Fellaini,74.0,False,False,20180702_BEL_JPN
2018-07-02,BEL,JPN,BEL,Nacer Chadli,90.0,False,False,20180702_BEL_JPN
